"cnum","coursename","university","url"
"course183","Water Supply and Sanitation Policy in Developing Countries Part 1: Understanding Complex Problems","University of Manchester   ","https://www.coursera.org/learn/water"
"course132","Data Structures and Design Patterns for Game Developers","University of Colorado System","https://www.coursera.org/learn/data-structures-design-patterns"
"course122","Games, Sensors and Media","University of California, Irvine","https://www.coursera.org/learn/games"
"course41","MBSE: Model-Based Systems Engineering ","University at Buffalo, The State University of New York","https://www.coursera.org/learn/mbse"
"course143","Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion","Georgia Institute of Technology","https://www.coursera.org/learn/mechanics2"
"course190","Intelligent Machining","University at Buffalo, The State University of New York","https://www.coursera.org/learn/intelligent-machining"
"course195","Foundations of marketing analytics","ESSEC Business School","https://www.coursera.org/learn/foundations-marketing-analytics"
"course72","Introduction to Electronics","Georgia Institute of Technology","https://www.coursera.org/learn/electronics"
"course97","Java Programming: Principles of Software Design","Duke University","https://www.coursera.org/learn/java-programming-design-principles"
"course119","Introduction to Thermodynamics: Transferring Energy from Here to There","University of Michigan","https://www.coursera.org/learn/thermodynamics-intro"
"course90","Foundations of strategic business analytics","ESSEC Business School","https://www.coursera.org/learn/strategic-business-analytics"
"course106","The Bible's Prehistory, Purpose, and Political Future","Emory University","https://www.coursera.org/learn/bible-history"
"course73","Global Diplomacy: the United Nations in the World","University of London, SOAS University of London","https://www.coursera.org/learn/global-diplomacy-un"
"course129","Industrial Biotechnology","University of Manchester   ","https://www.coursera.org/learn/industrial-biotech"
"course167","Network Analysis in Systems Biology","Icahn School of Medicine at Mount Sinai","https://www.coursera.org/learn/network-biology"
"course21","Mastering the Software Engineering Interview","University of California, San Diego","https://www.coursera.org/learn/cs-tech-interview"
"course173","Protecting Business Innovations via Trademark","The Hong Kong University of Science and Technology","https://www.coursera.org/learn/protect-business-innovations-trademark"
"course196","Online Games: Literature, New Media, and Narrative","Vanderbilt University","https://www.coursera.org/learn/interactive-media-gaming"
"course146","High Level Biocontainment for Healthcare Facilities","University of Nebraska","https://www.coursera.org/learn/biocontainment"
"course35","Nanotechnology and Nanosensors, Part 2","Technion - Israel Institute of Technology","https://www.coursera.org/learn/nanotechnology2"
"course109","The Holocaust - An Introduction (II): The Final Solution","Tel Aviv University, Yad Vashem ","https://www.coursera.org/learn/holocaust-introduction-2"
"course99","Code Yourself! An Introduction to Programming","The University of Edinburgh, Universidad ORT Uruguay","https://www.coursera.org/learn/intro-programming"
"course153","Introduction to Household Water Treatment and Safe Storage","Polytechnique rale de Lausanne","https://www.coursera.org/learn/water-treatment"
"course108","Public Economics","National Research University Higher School of Economics","https://www.coursera.org/learn/public-economics"
"course60","An Introduction to American Law","University of Pennsylvania","https://www.coursera.org/learn/american-law"
"course141","Single Variable Calculus","University of Pennsylvania","https://www.coursera.org/learn/discrete-calculus"
"course157","Building a Data Science Team","Johns Hopkins University","https://www.coursera.org/learn/build-data-science-team"
"course142","Game Development for Modern Platforms","Michigan State University","https://www.coursera.org/learn/gamedev-platforms"
"course56","Introduction to Satellite Communications","Institut Mines-T00c300a9l00c300a9com","https://www.coursera.org/learn/satellite-communications"
"course166","Cybersecurity and the Internet of Things","University System of Georgia","https://www.coursera.org/learn/iot-cyber-security"
"course98","Electric Industry Operations and Markets","Duke University","https://www.coursera.org/learn/electricity"
"course197","Effective Sales An Overview","Funda00c300a700c300a3o Instituto de Administra00c300a700c300a3o","https://www.coursera.org/learn/effective-sales-overview"
"course189","Data Structures and Performance","University of California, San Diego","https://www.coursera.org/learn/data-structures-optimizing-performance"
"course1","Fundamentals of Engineering Exam Review","Georgia Institute of Technology","https://www.coursera.org/learn/fe-exam"
"course59","Electric Utilities Fundamentals and Future","University of Colorado System","https://www.coursera.org/learn/electric-utilities"
"course14","Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion","Georgia Institute of Technology","https://www.coursera.org/learn/motion-and-kinetics"
"course19","Fundamentals of Fluid-Solid Interactions","cole Polytechnique","https://www.coursera.org/learn/fluid-solid-interaction"
"course191","Politics and Economics of International Energy","Sciences Po","https://www.coursera.org/learn/global-energy"
"course43","Nanotechnology and Nanosensors, Part1","Technion - Israel Institute of Technology","https://www.coursera.org/learn/nanotechnology1"
"course118","Design: Creation of Artifacts in Society","University of Pennsylvania","https://www.coursera.org/learn/design"
"course93","Music and Social Action","Yale University","https://www.coursera.org/learn/music-and-social-action"
"course182","Linear Circuits 2: AC Analysis ","Georgia Institute of Technology","https://www.coursera.org/learn/linear-circuits-ac-analysis"
"course81","Building Resilient Streaming Systems on Google Cloud Platform","Google Cloud","https://www.coursera.org/learn/building-resilient-streaming-systems-gcp"
"course192","Julia Scientific Programming","University of Cape Town","https://www.coursera.org/learn/julia-programming"
"course74","Chinese Culture and Contemporary China ","Nanjing University","https://www.coursera.org/learn/china-culture-contemporary"
"course44","Nanotechnology and Nanosensors, Part 2","Technion - Israel Institute of Technology","https://www.coursera.org/learn/nanotechnology2"
"course107","After the Arab Spring Democratic Aspirations and State Failure","University of Copenhagen","https://www.coursera.org/learn/after-the-arab-spring"
"course49","Engineering Life: Synbio, Bioethics & Public Policy","Johns Hopkins University","https://www.coursera.org/learn/synbioethics"
"course168","Air Pollution a Global Threat to our Health","University of Copenhagen","https://www.coursera.org/learn/air-pollution-health-threat"
"course51","Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories","Georgia Institute of Technology","https://www.coursera.org/learn/materials-structures"
"course6","3D CAD Fundamental","National Taiwan University","https://www.coursera.org/learn/3d-cad-fundamental"
"course180","Introduction to Power Electronics","University of Colorado Boulder","https://www.coursera.org/learn/power-electronics"
"course68","Construction Scheduling","Columbia University","https://www.coursera.org/learn/construction-scheduling"
"course100","Relationship Management ","Rice University","https://www.coursera.org/learn/relationship-management"
"course76","Google Cloud Platform Big Data and Machine Learning Fundamentals","Google Cloud","https://www.coursera.org/learn/gcp-big-data-ml-fundamentals"
"course198","Genome Sequencing (Bioinformatics II)","University of California, San Diego","https://www.coursera.org/learn/genome-sequencing"
