"Cnum","coursename","url","university"
"course18","Semiconductor Optoelectronics: Theory and Design","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-977-semiconductor-optoelectronics-theory-and-design-fall-2002/","MIT"
"course61","Introduction to C Memory Management and C++ Object-Oriented Programming","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-088-introduction-to-c-memory-management-and-c-object-oriented-programming-january-iap-2010/","MIT"
"course74","Introduction to Computer Science","https://www.edx.org/course/harvardx/harvardx-cs50x-introduction-computer-1022#.U8VZQk1OWCg","Harvard"
"course118","Cryptography and Cryptoanalysis","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-875-cryptography-and-cryptanalysis-spring-2005/","MIT"
"course169","Introduction to Computer Science-Programming Paradigms","http://see.stanford.edu/see/courseinfo.aspx?coll=2d712634-2bf1-4b55-9a3a-ca9d470755ee","Stanford"
"course14","Introduction to Nanoelectronics","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-701-introduction-to-nanoelectronics-spring-2010","MIT"
"course25","Database, Internet, and Systems Integration Technology","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-264j-database-internet-and-systems-integration-technologies-fall-2013","MIT"
"course184","Social Network Analysis","http://www.open.umich.edu/education/si/coursera-social-network-analysis/2012","University of Michigan"
"course79","Programming Languages","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-821-programming-languages-fall-2002/","MIT"
"course83","Distributed Computer Systems Engineering","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-824-distributed-computer-systems-engineering-spring-2006/","MIT"
"course13","Introduction to Haptics","http://online.stanford.edu/courses/intro-haptics-fall-2013","Stanford"
"course76","iPad and iPhone App Development","http://online.stanford.edu/course/ipad-and-iphone-app-development-fall-2011","Stanford"
"course20","Solid State Circuits","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-301-solid-state-circuits-fall-2010","MIT"
"course75","Introduction to MATLAB","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-094-introduction-to-matlab-january-iap-2010/","MIT"
"course12","Introduction to Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011/","MIT"
"course40","Computer Networks","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-829-computer-networks-fall-2002/","MIT"
"course162","Foundations of Computer Graphics","https://www.edx.org/course/uc-berkeleyx/uc-berkeleyx-cs-184-1x-foundations-1003#.U8Vrwk1OWCg","UC Berkeley"
"course193","User Interface Design and Implementation","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-831-user-interface-design-and-implementation-spring-2011/","MIT"
"course53","TechniCity","http://odee.osu.edu/technicity","Ohio State University"
"course182","e-Learning Ecologies","https://www.coursera.org/course/elearning","University of Illinois"
"course147","Machine Learning","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-867-machine-learning-fall-2006/","MIT"
"course128","General Game Playing","http://online.stanford.edu/course/general-game-playing-sp14","Stanford"
"course21","Theory of Parallel Hardware","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-896-theory-of-parallel-hardware-sma-5511-spring-2004/","MIT"
"course112","Hardware Security","https://www.coursera.org/course/hardwaresec","University of Maryland"
"course78","Practicing Programming in C","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-087-practical-programming-in-c-january-iap-2010/","MIT"
"course143","Game Theory II: Advance Applications","http://online.stanford.edu/course/game-theory-winter-2014","Stanford"
"course152","Queues: Theory and Applications","http://ocw.mit.edu/courses/sloan-school-of-management/15-072j-queues-theory-and-applications-spring-2006/","MIT"
"course106","Introduction to Data Science","https://www.coursera.org/course/datasci","University of Washington"
"course4","Complex Digital Systems","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-884-complex-digital-systems-spring-2005","MIT"
