"cnum","coursename","url","university"
"course61","Journey Conversations: Weaving Knowledge and Action","https://www.coursera.org/learn/journey-knowledge-action","Yale University"
"course2","Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics","https://www.coursera.org/learn/audio-engineering","University of Rochester"
"course55","Imagining Other Earths","https://www.coursera.org/learn/life-on-other-planets","Princeton University"
"course43","Origins - Formation of the Universe, Solar System, Earth and Life","https://www.coursera.org/learn/origins-universe-solarsystem","University of Copenhagen"
"course64","Linear Circuits 1: DC Analysis","https://www.coursera.org/learn/linear-circuits-dcanalysis","Georgia Institute of Technology"
"course60","The Effect of Fires on People, Property and the Environment","https://www.coursera.org/learn/fire-effect","University of Maryland, College Park"
"course123","Hurricanes: What's Next?","https://www.coursera.org/learn/hurricanes-whats-next","University of Michigan"
"course19","Capstone Design Project in Power Electronics","https://www.coursera.org/learn/power-electronics-capstone","University of Colorado Boulder"
"course22","Advanced Converter Control Techniques","https://www.coursera.org/learn/current-control","University of Colorado Boulder"
"course77","Introduction to Satellite Communications","https://www.coursera.org/learn/satellite-communications","Institut Mines"
"course29","Fundamentals of GIS","https://www.coursera.org/learn/gis","University of California, Davis"
"course53","The Science of the Solar System","https://www.coursera.org/learn/solar-system","Caltech"
"course46","Fundamentals of Fluid Power","https://www.coursera.org/learn/fluid-power","University of Minnesota"
"course80","Disaster Preparedness","https://www.coursera.org/learn/disaster-preparedness","University of Pittsburgh"
"course5","Magnetics for Power Electronic Converters","https://www.coursera.org/learn/electronic-converters","University of Colorado Boulder"
"course79","Global Environmental Management","https://www.coursera.org/learn/global-environmental-management","Technical University of Denmark (DTU)"
"course70","Sustainable Agricultural Land Management","https://www.coursera.org/learn/sustainable-agriculture","University of Florida"
"course51","General Chemistry: Concept Development and Application","https://www.coursera.org/learn/general-chemistry","Rice University"
"course84","Greening the Economy: Sustainable Cities","https://www.coursera.org/learn/gte-sustainable-cities","Lund University"
"course18","Material Behavior","https://www.coursera.org/learn/material-behavior","Georgia Institute of Technology"
"course25","Introduction to Molecular Spectroscopy","https://www.coursera.org/learn/spectroscopy","University of Manchester   "
"course50","The Changing Global Order","https://www.coursera.org/learn/changing-global-order","Universiteit Leiden"
"course58","Internet of Things: Sensing and Actuation From Devices","https://www.coursera.org/learn/internet-of-things-sensing-actuation","University of California, San Diego"
"course13","Securing Digital Democracy","https://www.coursera.org/learn/digital-democracy","University of Michigan"
"course71","Emergent Phenomena in Science and Everyday Life","https://www.coursera.org/learn/emergent-phenomena","University of California, Irvine"
"course10","Getting started in cryo-EM","https://www.coursera.org/learn/cryo-em","Caltech"
"course21","Converter Control","https://www.coursera.org/learn/converter-control","University of Colorado Boulder"
"course110","Operational Finance: Finance for Managers","https://www.coursera.org/learn/operational-finance","IESE Business School"
"course93","Internet of Things: Multimedia Technologies","https://www.coursera.org/learn/internet-of-things-multimedia","University of California, San Diego"
"course99","Cybersecurity and the Internet of Things","https://www.coursera.org/learn/iot-cyber-security","University System of Georgia"
"course8","Digital Systems: From Logic Gates to Processors","https://www.coursera.org/learn/digital-systems","Universitat Aut noma de Barcelona"
"course78","From the Big Bang to Dark Energy","https://www.coursera.org/learn/big-bang","The University of Tokyo"
"course62","Stanford Introduction to Food and Health","https://www.coursera.org/learn/food-and-health","Stanford University"
"course120","Robotics: Capstone","https://www.coursera.org/learn/robotics-capstone","University of Pennsylvania"
"course91","Intro to Digital Manufacturing with Autodesk Fusion 360","https://www.coursera.org/learn/introduction-digital-manufacturing-fusion-360","Autodesk"
"course48","Chemistry","https://www.coursera.org/learn/chemistry-1","University of Kentucky"
"course56","Oceanography: a key to better understand our world","https://www.coursera.org/learn/oceanography","Universitat de Barcelona, Fundaci Navegaci Ocenica Barcelona"
"course112","The Arduino Platform and C Programming","https://www.coursera.org/learn/arduino-platform","University of California, Irvine"
"course100","Quantitative Methods","https://www.coursera.org/learn/quantitative-methods","University of Amsterdam"
"course63","Wind Energy","https://www.coursera.org/learn/wind-energy","Technical University of Denmark (DTU)"
