"cnum","university","coursename","url"
"course106","Michigan State University","Gathering and Developing the News","https://www.coursera.org/learn/gathering-the-news"
"course50","Google Daydream Impact","VR & 360 Video Production","https://www.coursera.org/learn/360-vr-video-production"
"course104","Berklee College of Music","Improvisacib3n de jazz ","https://www.coursera.org/learn/improvisacion-de-jazz"
"course28","California Institute of the Arts","Introduction to Typography","https://www.coursera.org/learn/typography"
"course108","Michigan State University","Effectively delivering the news to your audience","https://www.coursera.org/learn/deliver-the-news"
"course36","Berklee College of Music","Introduction to Ableton Live","https://www.coursera.org/learn/ableton-live"
"course10","The University of Edinburgh","Fundamentals of Music Theory","https://www.coursera.org/learn/edinburgh-music-theory"
"course77","Universiteit Leiden, University of the Arts The Hague","Music & Society","https://www.coursera.org/learn/music-society"
"course95","Northwestern University","Teaching the Violin and Viola: Creating a Healthy Foundation","https://www.coursera.org/learn/teach-violin-lessons"
"course96","West Virginia University","Todays Music Industry","https://www.coursera.org/learn/music-industry"
"course111","University of Florida","Music's Big Bang: The Genesis of Rock 'n' Roll","https://www.coursera.org/learn/rock-and-roll-music"
"course23","Curtis Institute of Music","Exploring Beethoven's Piano Sonatas Part 3","https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-3"
"course32","Berklee College of Music","Jazz Improvisation","https://www.coursera.org/learn/jazz-improvisation"
"course24","Michigan State University","Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course)","https://www.coursera.org/learn/script-writing"
"course113","Berklee College of Music","A tecnologia da produo musical ","https://www.coursera.org/learn/tecnologia-producao-musical"
"course17","The Museum of Modern Art","In the Studio: Postwar Abstract Painting","https://www.coursera.org/learn/painting"
"course22","Michigan State University","Getting Started With Music Theory","https://www.coursera.org/learn/music-theory"
"course92","University of Rochester","History of Rock, Part Two","https://www.coursera.org/learn/history-of-rock-2"
"course79","Berklee College of Music","Pro Tools Basics","https://www.coursera.org/learn/protools"
"course33","UNSW Australia (The University of New South Wales)","Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences","https://www.coursera.org/learn/transmedia-storytelling"
"course123","California Institute of the Arts","Game Design Document: Define the Art & Concepts","https://www.coursera.org/learn/game-design-document"
"course11","The Museum of Modern Art","Fashion as Design","https://www.coursera.org/learn/fashion-design"
"course99","Duke University, Creative Time ","ART of the MOOC: Public Art and Pedagogy","https://www.coursera.org/learn/public-art-pedagogy"
"course124","Michigan State University","Capstone: Create your own professional journalistic portfolio","https://www.coursera.org/learn/become-a-journalist-capstone"
"course73","Erasmus University Rotterdam","Serious Gaming","https://www.coursera.org/learn/serious-gaming"
"course12","California Institute of the Arts","Fundamentals of Graphic Design","https://www.coursera.org/learn/fundamentals-of-graphic-design"
"course37","California Institute of the Arts","Introduction to Imagemaking","https://www.coursera.org/learn/image-making"
"course53","Curtis Institute of Music","Exploring Beethovens Piano Sonatas","https://www.coursera.org/learn/beethoven-piano-sonatas"
"course85","Yale University","Music and Social Action","https://www.coursera.org/learn/music-and-social-action"
"course64","Nanjing University","Chinese Culture and Contemporary China ","https://www.coursera.org/learn/china-culture-contemporary"
"course35","IE Business School, IE School of Architecture & Design","Making Architecture","https://www.coursera.org/learn/making-architecture"
"course76","Vanderbilt University","Understanding the Music Business: What is Music Worth?","https://www.coursera.org/learn/musicbiz"
"course116","Berklee College of Music","Desenvolvendo sua musicalidade","https://www.coursera.org/learn/desenvolvendo-musicalidade"
"course86","University of Illinois at Urbana-Champaign","Modern American Poetry","https://www.coursera.org/learn/modern-american-poetry"
"course63","Michigan State University","Photography Techniques: Light, Content, and Sharing","https://www.coursera.org/learn/photography-techniques"
"course75","University of Maryland, College Park","The Cycle: Management of Successful Arts and Cultural Organizations","https://www.coursera.org/learn/the-cycle"
"course41","IE Business School","From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories","https://www.coursera.org/learn/brand-image-high-impact-campaign"
"course58","The University of Melbourne","Sexing the Canvas: Art and Gender","https://www.coursera.org/learn/gender-art"
"course122","Wesleyan University","Capstone: Your Story","https://www.coursera.org/learn/story-writing-project"
"course1","California Institute of the Arts","Graphic Design","https://www.coursera.org/specializations/graphic-design"
"course90","Universitat de Barcelona","The Mediterranean, a Space of Exchange (from the Renaissance to Enlightenment)","https://www.coursera.org/learn/mediterraneanhistory"
"course45","Universitat Pompeu Fabra of Barcelona, Stanford University","Audio Signal Processing for Music Applications","https://www.coursera.org/learn/audio-signal-processing"
"course125","Berklee College of Music","Music Production Capstone","https://www.coursera.org/learn/music-production-capstone"
"course56","Berklee College of Music","Navigate the Music Industry as an Independent Artist","https://www.coursera.org/learn/navigate-music-industry-independent-artist"
"course52","Berklee College of Music","Creating Synthesizer Sounds for Electronic Music (Project-Centered Course)","https://www.coursera.org/learn/music-synthesizer"
"course74","California Institute of the Arts","Character Design for Video Games","https://www.coursera.org/learn/game-character-design"
"course126","Berklee College of Music","Developing Your Musicianship: Final Project","https://www.coursera.org/learn/musicianship-final-project"
"course68","University of California, Irvine","Introduction to Research for Essay Writing","https://www.coursera.org/learn/introduction-to-research-for-essay-writing"
"course54","Berklee College of Music","The Technology of Music Production","https://www.coursera.org/learn/technology-of-music-production"
"course70","University of Colorado System","Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe","https://www.coursera.org/learn/medieval-europe"
"course66","Duke University, Creative Time ","ART of the MOOC: Activism and Social Movements","https://www.coursera.org/learn/activism-social-movements"
"course14","Wesleyan University","Creative Writing: The Craft of Plot","https://www.coursera.org/learn/craft-of-plot"
"course42","California Institute of the Arts","Introduction to Game Design","https://www.coursera.org/learn/game-design"
"course48","University of Rochester","History of Rock, Part One","https://www.coursera.org/learn/history-of-rock"
"course29","Berklee College of Music","The Art of Music Production","https://www.coursera.org/learn/producing-music"
"course25","Duke University","Music as Biology: What We Like to Hear and Why","https://www.coursera.org/learn/music-as-biology"
"course46","Wesleyan University","Creative Writing: The Craft of Setting and Description","https://www.coursera.org/learn/craft-of-setting-and-description"
"course55","National University of Singapore","Write Like Mozart: An Introduction to Classical Music Composition","https://www.coursera.org/learn/classical-composition"
"course84","Vanderbilt University","Online Games: Literature, New Media, and Narrative","https://www.coursera.org/learn/interactive-media-gaming"
"course51","University of Pennsylvania","Designing Cities","https://www.coursera.org/learn/designing-cities"
"course127","Berklee College of Music, Banco Interamericano de Desarrollo","Proyecto final de Msico moderno","https://www.coursera.org/learn/proyecto-musico"
"course62","Berklee College of Music","Musicianship: Chord Charts, Diatonic Chords, and Minor Keys","https://www.coursera.org/learn/musicianship-chords"
