"cnum","coursename","university","url"
"course139","Moving to the Cloud","The University of Melbourne","https://www.coursera.org/learn/cloud-computing-adoption"
"course112","Introduction to Social Media Analytics","Emory University","https://www.coursera.org/learn/social-media-analytics-introduction"
"course138","Executive Data Science Capstone","Johns Hopkins University","https://www.coursera.org/learn/executive-data-science-capstone"
"course62","Managing Social and Human Capital","University of Pennsylvania","https://www.coursera.org/learn/wharton-social-human-capital"
"course70","Building Your Leadership Skills","HEC Paris","https://www.coursera.org/learn/leadership-skills"
"course9","Organizational Leadership","Northwestern University","https://www.coursera.org/specializations/organizational-leadership"
"course91","Leadership in 21st Century Organizations","Copenhagen Business School","https://www.coursera.org/learn/leadership-21st-century"
"course104","Strategic Career Self-Management","The State University of New York","https://www.coursera.org/learn/strategic-career-self-management"
"course12","Six Sigma Yellow Belt","University System of Georgia","https://www.coursera.org/specializations/six-sigma-fundamentals"
"course106","New Models of Business in Society","University of Virginia","https://www.coursera.org/learn/uva-darden-business-society"
"course23","Conflict Management","University of California, Irvine","https://www.coursera.org/specializations/conflict-management"
"course58","Strategic Management","Copenhagen Business School","https://www.coursera.org/learn/strategic-management"
"course146","Leadership Through Design Innovation","Northwestern University","https://www.coursera.org/learn/leadership-design-innovation"
"course191","Fundamentos del Emprendimiento: Pensamiento y Accin","University of California, Irvine","https://www.coursera.org/learn/fundamentos-del-emprendimiento"
"course3","Construction Management","Columbia University","https://www.coursera.org/specializations/construction-management"
"course87","Managing as a Coach","University of California, Davis","https://www.coursera.org/learn/managing-as-a-coach"
"course147","Math behind Moneyball","University of Houston System","https://www.coursera.org/learn/mathematics-sport"
"course107","Analysing Complexity","Macquarie University","https://www.coursera.org/learn/analysing-complexity"
"course210","Smart Cities  Management of Smart Urban Infrastructures","cole Polytechnique Fdrale de Lausanne","https://www.coursera.org/learn/smart-cities"
"course17","Hotel Management: Distribution, Revenue and Demand Management","ESSEC Business School","https://www.coursera.org/specializations/hotel-management"
"course133","Career Brand Development and Self-Coaching","The State University of New York","https://www.coursera.org/learn/career-brand-development-self-coaching"
"course34","A Crash Course in Data Science","Johns Hopkins University","https://www.coursera.org/learn/data-science-course"
"course117","Leadership and Emotional Intelligence ","Indian School of Business","https://www.coursera.org/learn/emotional-intelligence-in-leadership"
"course182","Power Onboarding","Northwestern University","https://www.coursera.org/learn/power-onboarding"
"course67","Digital Business Models","Lund University","https://www.coursera.org/learn/digital-business-models"
"course85","Social Impact Strategy: Tools for Entrepreneurs and Innovators","University of Pennsylvania","https://www.coursera.org/learn/social-impact"
"course132","Innovating with the Business Model Canvas","University of Virginia","https://www.coursera.org/learn/uva-darden-innovation-business-model-canvas"
"course44","An Introduction to Consumer Neuroscience & Neuromarketing ","Copenhagen Business School","https://www.coursera.org/learn/neuromarketing"
"course115","Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance","The State University of New York, Luther College at the University of Regina","https://www.coursera.org/learn/nonprofit-organizations"
"course196","Human Resources Management Capstone: HR for People Managers","University of Minnesota","https://www.coursera.org/learn/human-resources-management-capstone"
"course98","Electric Utilities Fundamentals and Future","University of Colorado System","https://www.coursera.org/learn/electric-utilities"
"course110","Engineering Project Management: Scope, Time and Cost Management","Rice University","https://www.coursera.org/learn/scope-time-management-cost"
"course59","The Manager's Toolkit: A Practical Guide to Managing People at Work","University of London, Birkbeck, University of London","https://www.coursera.org/learn/people-management"
"course109","Unethical Decision Making in Organizations","University of Lausanne","https://www.coursera.org/learn/unethical-decision-making"
"course5","Strategic Management and Innovation","Copenhagen Business School","https://www.coursera.org/specializations/strategic-management"
"course180","Negotiation, Mediation, and Conflict Resolution - Capstone Project","ESSEC Business School","https://www.coursera.org/learn/negotiation-project"
"course108","Strategic Business Management - Microeconomics","University of California, Irvine","https://www.coursera.org/learn/strategic-business-management-microeconomics"
"course113","Forecasting Models for Marketing Decisions","Emory University","https://www.coursera.org/learn/forecasting-models-marketing-decisions"
"course97","Six Sigma and the Organization (Advanced)","University System of Georgia","https://www.coursera.org/learn/six-sigma-organization-advanced"
"course53","Budgeting and Scheduling Projects","University of California, Irvine","https://www.coursera.org/learn/schedule-projects"
"course14","Value Chain Management","University of Illinois at Urbana-Champaign","https://www.coursera.org/specializations/value-chain-management"
"course29","Leadership Development for Engineers","Rice University","https://www.coursera.org/specializations/leadership-development-engineers"
"course111","Trabaja inteligentemente, no ms duro: Gestin del tiempo para la productividad personal y profesional ","University of California, Irvine","https://www.coursera.org/learn/trabaja-inteligentemente"
"course81","Fundamentals of Management","University of California, Irvine","https://www.coursera.org/learn/fundamentals-of-management"
"course26","Innovation: From Creativity to Entrepreneurship","University of Illinois at Urbana-Champaign","https://www.coursera.org/specializations/innovation-creativity-entrepreneurship"
"course140","Leading Positive Change through Appreciative Inquiry","Case Western Reserve University","https://www.coursera.org/learn/appreciative-inquiry"
"course40","Project Management: The Basics for Success","University of California, Irvine","https://www.coursera.org/learn/project-management-basics"
"course4","Human Resource Management: HR for People Managers","University of Minnesota","https://www.coursera.org/specializations/human-resource-management"
"course202","Culture-Driven Team Building Capstone ","University of Pennsylvania","https://www.coursera.org/learn/team-building-capstone"
"course30","Communication Skills for Engineers","Rice University","https://www.coursera.org/specializations/leadership-communication-engineers"
"course78","The Science of Success: What Researchers Know that You Should Know","University of Michigan","https://www.coursera.org/learn/success"
"course211","CAPSTONE: Your Leadership Challenge","HEC Paris","https://www.coursera.org/learn/leadership-challenge"
"course54","Business Writing","University of Colorado Boulder","https://www.coursera.org/learn/writing-for-business"
"course151","Diversity and inclusion in the workplace","ESSEC Business School","https://www.coursera.org/learn/diversity-inclusion-workplace"
"course19","Negotiation, Mediation and Conflict Resolution","ESSEC Business School","https://www.coursera.org/specializations/negotiation-mediation-conflict-resolution"
"course134","Oral Communication for Engineering Leaders","Rice University","https://www.coursera.org/learn/oral-communication"
"course11","Dynamic Public Speaking","University of Washington","https://www.coursera.org/specializations/public-speaking"
"course105","Teamwork Skills: Communicating Effectively in Groups","University of Colorado Boulder","https://www.coursera.org/learn/teamwork-skills-effective-communication"
"course52","Management of Fashion and Luxury Companies","Universit Bocconi","https://www.coursera.org/learn/mafash"
"course72","Design Thinking for the Greater Good: Innovation in the Social Sector","University of Virginia","https://www.coursera.org/learn/uva-darden-design-thinking-social-sector"
"course49","People Analytics","University of Pennsylvania","https://www.coursera.org/learn/wharton-people-analytics"
"course6","Strategic Leadership and Management","University of Illinois at Urbana-Champaign","https://www.coursera.org/specializations/strategic-leadership"
"course123","Gestin de proyectos: las bases del xito","University of California, Irvine","https://www.coursera.org/learn/gestion-de-proyectos"
"course74","Entrepreneurship Strategy: From Ideation to Exit","HEC Paris","https://www.coursera.org/learn/entrepreneurship-strategy"
"course186","Optimizing Diversity on Teams","University of Pennsylvania","https://www.coursera.org/learn/diverse-teams"
"course156","Six Sigma Advanced Analyze Phase","University System of Georgia","https://www.coursera.org/learn/six-sigma-analyze-advanced"
"course150","Achieving Your Optimal Performance","University of California, San Diego","https://www.coursera.org/learn/achieving-your-optimal-performance"
"course24","Improving Leadership & Governance in Nonprofit Organizations","The State University of New York, Luther College at the University of Regina","https://www.coursera.org/specializations/nonprofit"
"course185","Subsistence Marketplaces","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/subsistence-marketplaces"
"course204","Organizational Leadership Capstone","Northwestern University","https://www.coursera.org/learn/leadership-capstone"
"course208","Value Chain Management Capstone","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/value-chain-capstone"
"course145","Management Skills for International Business","University of London","https://www.coursera.org/learn/management-skills-international-business"
"course42","Ignite Your Everyday Creativity","The State University of New York","https://www.coursera.org/learn/ignite-creativity"
"course170","First Steps in Making the Business Case for Sustainability","University of Colorado System","https://www.coursera.org/learn/sustainable-business"
"course200","Designing and Implementing Your Coaching Strategy","University of California, Davis","https://www.coursera.org/learn/design-coaching-strategy"
"course25","Solving Complex Problems","Macquarie University","https://www.coursera.org/specializations/solving-complex-problems"
"course143","Writing Skills for Engineering Leaders","Rice University","https://www.coursera.org/learn/engineering-writing"
"course171","Leadership and Influence","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/leadership-influence"
"course103","Creativity And Entrepreneurship ","Berklee College of Music","https://www.coursera.org/learn/creativity-entrepreneurship"
"course174","Leadership Toolkit for Managers","Vanderbilt University","https://www.coursera.org/learn/leadership"
"course162","How to finance your venture ?","cole Polytechnique","https://www.coursera.org/learn/finance-venture"
"course203","Leading People and Teams Capstone","University of Michigan","https://www.coursera.org/learn/leading-teams-project"
"course32","Coaching Skills for Managers","University of California, Davis","https://www.coursera.org/specializations/coaching-skills-manager"
"course205","Capstone - Managing Board Change for Higher Levels of Leadership and Governance Effectiveness ","The State University of New York, Luther College at the University of Regina","https://www.coursera.org/learn/nonprofit-gov-capstone"
"course137","Women in Leadership: Inspiring Positive Change","Case Western Reserve University","https://www.coursera.org/learn/women-in-leadership"
"course152","Building High-Performing Teams","University of Pennsylvania","https://www.coursera.org/learn/high-performing-teams"
"course82","Influence","University of Pennsylvania","https://www.coursera.org/learn/wharton-influence"
"course175","Creating a Team Culture of Continuous Learning","University of Pennsylvania","https://www.coursera.org/learn/continuous-learning-culture"
"course28","Corporate Entrepreneurship: Innovating within Corporations","University of Maryland, College Park","https://www.coursera.org/specializations/corporate-entrepreneurship"
"course2","Leading People and Teams","University of Michigan","https://www.coursera.org/specializations/leading-teams"
"course20","Business Strategies for A Better World","University of Pennsylvania","https://www.coursera.org/specializations/wharton-global-business-strategy"
"course63","Building a Data Science Team","Johns Hopkins University","https://www.coursera.org/learn/build-data-science-team"
"course80","Construction Cost Estimating and Cost Control","Columbia University","https://www.coursera.org/learn/construction-cost-estimating"
"course173","Personal Leadership Development Planning and Leading High Performing Teams","Rice University","https://www.coursera.org/learn/leadership-development-planning"
"course116","Market and Competition in Pricing Strategy","University of Virginia, BCG","https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-market-competition"
"course114","Setting Expectations & Assessing Performance Issues","University of California, Davis","https://www.coursera.org/learn/coaching-expectations-performance"
"course73","Accounting: Principles of Financial Accounting","IESE Business School","https://www.coursera.org/learn/financial-accounting"
"course27","Become a Sustainable Business Change Agent","University of Colorado System","https://www.coursera.org/specializations/sustainable-business-change-agent"
"course193","Aspectos fundamentales de la gerencia","University of California, Irvine","https://www.coursera.org/learn/fundamentos-de-gestion"
"course46","Organizational Analysis ","Stanford University","https://www.coursera.org/learn/organizational-analysis"
"course160","Relationship Management ","Rice University","https://www.coursera.org/learn/relationship-management"
"course43","Psychology at Work","University of Western Australia","https://www.coursera.org/learn/work-psychology"
"course153","The Power of Team Culture","University of Pennsylvania","https://www.coursera.org/learn/team-culture"
"course148","International and Cross-Cultural Negotiation","ESSEC Business School","https://www.coursera.org/learn/international-negotiation"
"course184","Sustainable Innovation for Subsistence Marketplaces","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/subsistence-marketplaces-1"
"course101","Management of Urban Infrastructures  part 1","cole Polytechnique Fdrale de Lausanne","https://www.coursera.org/learn/managing-urban-infrastructures-1"
"course207","Be a Leader, Develop a Leader","Case Western Reserve University","https://www.coursera.org/learn/be-a-leader"
"course149","Six Sigma Advanced Define and Measure Phases","University System of Georgia","https://www.coursera.org/learn/six-sigma-define-measure-advanced"
"course61","Food & Beverage Management","Universit Bocconi","https://www.coursera.org/learn/food-beverage-management"
"course65","Personality Types at Work","University of Florida","https://www.coursera.org/learn/personality-types-at-work"
"course179","Cmo resolver problemas y tomar decisiones con eficacia","University of California, Irvine","https://www.coursera.org/learn/resolucion-decisiones"
"course130","Coaching Conversations","University of California, Davis","https://www.coursera.org/learn/coaching-conversations"
"course181","Surviving Disruptive Technologies (On Demand)","University of Maryland, College Park","https://www.coursera.org/learn/surviving-disruptive-technologies"
"course39","Foundations of Everyday Leadership","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/everyday-leadership-foundation"
"course68","FinTech and the Transformation in Financial Services","Copenhagen Business School","https://www.coursera.org/learn/fintech-transformation-financial-services"
"course206","Marketing Analytics Capstone Project","Emory University","https://www.coursera.org/learn/marketing-analytics-project"
"course21","Business Essentials for Managers","Vanderbilt University","https://www.coursera.org/specializations/management-fundamentals"
"course88","Managing the Company of the Future","University of London, London Business School","https://www.coursera.org/learn/company-future-management"
"course57","Inspiring Leadership through Emotional Intelligence","Case Western Reserve University","https://www.coursera.org/learn/emotional-intelligence-leadership"
"course35","Initiating and Planning Projects","University of California, Irvine","https://www.coursera.org/learn/project-planning"
"course64","Leading the Life You Want","University of Pennsylvania","https://www.coursera.org/learn/leading-the-life-you-want"
"course10","Digital Transformation in Financial Services","Copenhagen Business School","https://www.coursera.org/specializations/digital-transformation-financial-services"
"course190","More on Change and Sustainability","University of Colorado System","https://www.coursera.org/learn/business-case-sustainability"
"course187","Solving Complex Problems Capstone","Macquarie University","https://www.coursera.org/learn/solving-complex-problems"
"course100","Designing the Organization: From Strategy to Organizational Structure","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/designing-organization"
"course142","Mediation and Conflict Resolution","ESSEC Business School","https://www.coursera.org/learn/conflict-resolution-mediation"
"course120","Managing the Organization: From Organizational Design to Execution","University of Illinois at Urbana-Champaign","https://www.coursera.org/learn/managing-organization"
"course201","International Business Capstone","University of London","https://www.coursera.org/learn/international-business-capstone"
"course56","Managing Project Risks and Changes","University of California, Irvine","https://www.coursera.org/learn/project-risk-management"
"course164","Survey analysis to Gain Marketing Insights","Emory University","https://www.coursera.org/learn/survey-analysis-marketing-insights"
"course92","Conversations That Inspire: Coaching Learning, Leadership and Change","Case Western Reserve University","https://www.coursera.org/learn/leadership-coaching"
"course161","HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)","Columbia University","https://www.coursera.org/learn/hi-five-admin-it"
"course172","Networking and Volunteerism for Career Success","University of California, San Diego","https://www.coursera.org/learn/networking-volunteerism-career-success"
